id,name,synonyms,country,track,size
2320,IISER Mohali INDIA,,India,,10
2258,IISER Pune India,,India,Diagnostics,13
2525,IIT Delhi,,India,,2
2318,IIT Madras,,India,,19
2473,NIPER Guwahati,,India,,13
2338,REC CHENNAI,,India,,26
2379,SVCE CHENNAI,,India,Foundational Advance,19
2378,ITB Indonesia,,Indonesia,Energy,19
2344,UCC Ireland,,Ireland,,9
2520,TECHNION ISRAEL,,Israel,,15
2408,Tel Hai,,Israel,Food & Nutrition,13
2343,UNIFI,,Italy,,18
2226,ASIJ TOKYO,"ASIJ,Tokyo",Japan,High School,22
2337,Botchan Lab Tokyo,,Japan,,12
2438,Gifu,,Japan,,17
2414,HokkaidoU Japan,Hokkaido,Japan,,6
2335,KAIT JAPAN,,Japan,,11
2233,Kobe,,Japan,Food & Nutrition,11
2403,Kyoto,,Japan,,8
2256,Nagahama,,Japan,,9
2505,TokyoTech,,Japan,Information Processing,13
2516,NU Kazakhstan,,Kazakhstan,Environment,7
2437,KUAS Korea,,"Korea, Republic Of",,10
2496,TNCR Korea,,"Korea, Republic Of",High School,14
2259,Vilnius Lithuania,,Lithuania,,15
2471,Tec Chihuahua,,Mexico,,26
2246,TecCEM,,Mexico,,23
2434,TecMonterrey GDA,,Mexico,Environment,18
2385,Amsterdam,,Netherlands,Manufacturing,12
2361,Groningen,,Netherlands,Food & Nutrition,17
2356,TU Eindhoven,Eindhoven,Netherlands,,10
2306,TUDelft,Delft,Netherlands,,27
2351,Utrecht,,Netherlands,Diagnostics,20
2387,Wageningen UR,Wageningen,Netherlands,,19
2291,SECA NZ,SECA,New Zealand,,9
2265,NTNU Trondheim,,Norway,,10
2424,UiOslo Norway,,Norway,,20
2518,Peshawar,,Pakistan,,16
2498,ColegioFDR Peru,FDR,Peru,High School,17
2467,CMUQ,,Qatar,Environment,11
2488,Moscow RF,,Russian Federation,,11
2316,NTU SINGAPORE,,Singapore,Foundational Advance,13
2447,NUS Singapore,,Singapore,,10
2269,Valencia UPV,,Spain,,22
2329,Chalmers Gothenburg,,Sweden,Diagnostics,15
2474,Linkoping Sweden,,Sweden,,14
2266,Lund,,Sweden,Environment,14
2235,Stockholm,,Sweden,Therapeutics,28
2423,Uppsala,,Sweden,,25
2203,EPFL,,Switzerland,Diagnostics,16
2500,ETH Zurich,Zurich,Switzerland,Therapeutics,14
2292,CCU Taiwan,CCU,Taiwan,,24
2376,CGU Taiwan,CGU,Taiwan,,17
2382,CSMU NCHU Taiwan,,Taiwan,,15
