"2337","2337","Botchan Lab Tokyo"
"2438","2438","Gifu"
"2414","2414","HokkaidoU Japan","Hokkaido"
"2335","2335","KAIT JAPAN"
"2233","2233","Kobe"
"2403","2403","Kyoto"
"2256","2256","Nagahama"
"2505","2505","TokyoTech"
"2516","2516","NU Kazakhstan"
"2437","2437","KUAS Korea"
"2496","2496","TNCR Korea"
"2259","2259","Vilnius Lithuania"
"2471","2471","Tec Chihuahua"
"2246","2246","TecCEM"
"2434","2434","TecMonterrey GDA"
"2385","2385","Amsterdam"
"2361","2361","Groningen"
"2356","2356","TU Eindhoven","Eindhoven"
"2306","2306","TUDelft","Delft"
"2351","2351","Utrecht"
"2387","2387","Wageningen UR","Wageningen"
"2291","2291","SECA NZ","SECA"
"2265","2265","NTNU Trondheim"
"2424","2424","UiOslo Norway"
"2518","2518","Peshawar"
"2498","2498","ColegioFDR Peru","FDR"
"2467","2467","CMUQ"
"2488","2488","Moscow RF"
"2316","2316","NTU SINGAPORE"
"2447","2447","NUS Singapore"
"2269","2269","Valencia UPV"
"2329","2329","Chalmers Gothenburg"
"2474","2474","Linkoping Sweden"
"2266","2266","Lund"
"2235","2235","Stockholm"
"2423","2423","Uppsala"
"2203","2203","EPFL"
"2500","2500","ETH Zurich","Zurich"
"2292","2292","CCU Taiwan","CCU"
"2376","2376","CGU Taiwan","CGU"
"2382","2382","CSMU NCHU Taiwan"
"2230","2230","Mingdao"
"2275","2275","NCKU Tainan"
"2262","2262","NCTU Formosa"
"2354","2354","NTHU Taiwan"
"2350","2350","NYMU Taipei"
"2229","2229","TAS Taipei"
"2383","2383","TCFSH Taiwan"
"2234","2234","Bilkent UNAMBG","Bilkent"
"2495","2495","NYU Abu Dhabi"
"2293","2293","Bristol"
"2404","2404","Cardiff Wales","Cardiff"
"2206","2206","CLSB UK","CLSB","CLS","City of London","City of London School"
"2330","2330","Edinburgh OG","Edinburgh overgrad"
"2406","2406","Edinburgh UG","Edinburgh","Edinburgh undergrad"
"2324","2324","Exeter"
"2442","2442","Glasgow"
"2245","2245","Judd UK","Judd","Judd School"
"2340","2340","Kent"
"2213","2213","Manchester"
"2205","2205","Newcastle"
"2450","2450","Oxford"
"2508","2508","Sheffield"
"2284","2284","UNOTT","Nottingham"
"2463","2463","Warwick"
"2420","2420","Westminster UK","Westminster"
"2489","2489","York"
"2459","2459","AHUT China","AHUT"
"2357","2357","Arizona State","Arizona"
"2253","2253","Austin UTexas","Austin"
"2458","2458","Austin UTexas LASA","Austin LASA"
"2436","2436","Baltimore Bio Crew","Baltimore"
"2411","2411","BostonU","Boston"
"2409","2409","BostonU HW","Boston hardware"
"2248","2248","Cadets2Vets","Cadets","Vets"
"2465","2465","CAPS Kansas","Kansas"
"2491","2491","CCA San Diego","CCA"
"2412","2412","ColumbiaNYC","Columbia"
"2296","2296","Cornell"
"2204","2204","CSU Fort Collins","CSU"
"2249","2249","CU Boulder","Boulder"
"2435","2435","Dartmouth"
"2444","2444","Delaware"
"2410","2410","Delgado Ivy Marin","Delgado"
"2464","2464","Duke"
"2290","2290","East Chapel Hill"
"2487","2487","Emory"
"2511","2511","EpiphanyNYC","Epiphany"
"2523","2523","Florida Atlantic"
"2367","2367","FSU","FSU"
"2221","2221","Gaston Day School","Gaston"
"2524","2524","Georgia State"
"2251","2251","Harvard"
"2363","2363","iTesla SoundBio","Tesla"
"2268","2268","Kingsborough NY","Kingsborough"
"2353","2353","Lambert GA","Lambert"
"2478","2478","LUBBOCK TTU","Lubbock"
"2238","2238","ManhattanCol Bronx","Manhattan"
"2301","2301","Michigan"
"2274","2274","Michigan Software"
"2375","2375","Minnesota"
"2362","2362","Missouri Rolla"
"2429","2429","MIT","M. I. T.","Massachusetts Institute of Technology"
"2405","2405","MSU Michigan","MSU"
"2431","2431","NortheasternU Boston","Northeastern"
"2396","2396","Northwestern"
"2456","2456","Penn"
"2476","2476","Pittsburgh"
"2432","2432","Princeton"
"2228","2228","Purdue"
"2390","2390","RHIT"
"2194","2194","Rice"
"2503","2503","RPI Troy NY"
"2485","2485","Stanford Brown","Stanford"
"2196","2196","Stony Brook"
"2369","2369","TP CC San Diego"
"2416","2416","Tufts"
"2212","2212","UC San Diego"
"2428","2428","UChicago","Chicago"
"2332","2332","UCL","University College London"
